sentences,label,quality
我们不新改善制逐工艺,无关文本,无关文本
我们积极履行社会责任,无关文本,无关文本
更多信息详见公司网站,无关文本,无关文本
携手伙伴共筑美好社会,无关文本,无关文本
坚守初心贡献产业繁荣,无关文本,无关文本
公司支持女性员工成长,员工,定性文本
部分内容超出上述范围,无关文本,无关文本
我们积极践行社会责任,无关文本,无关文本
获消费电子展CES2023创新奖,科技创新,定性文本
教育是利国之本强国之基,无关文本,无关文本
推进上海区域党组织建设,无关文本,无关文本
同时代表大会胜利召开,无关文本,无关文本
在成本方面从原辅包集采,原材料,定性文本
此外在活动月期持续改进,无关文本,无关文本
多年案势为全球患者服务,抗疫,定性文本
管控业务活动中的气候风险,应对气候变化,定性文本
举报渠道受理流程阅核信件,举报制度,定性文本
实行两级内部控制制度体系,组织架构与运作,定性文本
打造中国石油兴农讲堂平台,农村帮扶,定性文本
立足优质资源打造特色品牌,无关文本,无关文本
机构和业务等方面相互独立,组织架构与运作,定性文本
如有歧义以中文简体版为准,无关文本,无关文本
部分内容适当追溯以往年份,无关文本,无关文本
度水经处理达标了显著成效,水资源,定性文本
检查发挥职工代表监督作用,员工,定性文本
一揽子稳经济政策落地见效,无关文本,无关文本
持续建立健全人才政策体系,员工,定性文本
多措并举推动招才引智工作,促进就业,定性文本
开展外部董事年度履职评价,组织架构与运作,定性文本
设置高端人才成功内推奖励,促进就业,定性文本
二是全面畅通投诉受理渠道,举报制度,定性文本
三是建立消保审查管控机制,客户与消费者,定性文本
历经五年磨砺绘就普惠愿景,无关文本,无关文本
公司合并报表范围内成员单位,无关文本,无关文本
加强项确保基建项日服利推进,无关文本,无关文本
公司设定同工同酬的薪资结构,员工,定性文本
公司持续促进优秀人才的引进,促进就业,定性文本
在有色金属消费量中仅次于铝,原材料,定性文本
公司每年为所有员工进行体检,员工,定性文本
四是持续开展消保吹哨人活动,客户与消费者,定性文本
做好数字化基层治理场景建设,组织架构与运作,定性文本
鼓励支持员工考取学位和证书,员工,定性文本
详见2022关键绩效中备注,无关文本,无关文本
我们持续提升绿色低碳竞争力,碳排放,定性文本
由5名董事组成，独立董事占多数,组织架构与运作,定量文本
该标准在全球生产基地得到推广,无关文本,无关文本
员工全方位地开展好安全培训工作,员工,定性文本
报告发布周期本报告为年度报告,无关文本,无关文本
数据来源万得信息公司内部统计,无关文本,无关文本
本次学习采用线下线上方式进行,无关文本,无关文本
各专门委员会成员均由董事担任,组织架构与运作,定性文本
推动全员深入参与安全管理工作,数据安全,定性文本
2间接能源消耗指外购电力消耗,能源与资源消耗,定性文本
塔中矿业指代塔中矿业有限公司,无关文本,无关文本
四是持续优化消保管理系统建设,客户与消费者,定性文本
本行识别了面临的气候变化风险,应对气候变化,定性文本
构建更加开放的综合服务生态圈,无关文本,无关文本
本年度我们未发现审计重大缺陷,审计工作,定量文本
报告期内共召开8次监事会会议,组织架构与运作,定量文本
同进本公司持续健康可持续发展,无关文本,无关文本
重大气候变化风险相关性说明制,应对气候变化,定性文本
在学习中成长助力企业持续发展,无关文本,无关文本
员工能依法享受法定的带薪年休假,员工,定性文本
企业碳排量发据更多碳减排机会点,碳排放,定性文本
公司正积极开展继任者的遴选工作,组织架构与运作,定性文本
获批复认定市级科技创新平台3个,科技创新,定量文本
2.0分连续多年客户满意度高居榜首,客户与消费者,定量文本
部分表述及数据适当超出上述年份,无关文本,无关文本
注REGZA是东芝电视子品牌名,无关文本,无关文本
首批3550亩林地已经启动建设,土地利用,定量文本
多措并举拓宽帮扶县产品销售渠道,农村帮扶,定性文本
在有色金属消费量中仅次于铜和铝,原材料,定性文本
投资重塑股份布局新能源产业领域,能源与资源消耗,定性文本
三是聚焦重点客群开展特色化活动,客户与消费者,定性文本
呵护好地球家园是人类共同的责任,无关文本,无关文本
同时公司积极开展反洗钱相关培训,反贪污反洗钱,定性文本
加强授权管理协同推动规范治理提升,组织架构与运作,定性文本
加强人才队伍协同推动专业能力提升,员工,定性文本
全面推进经理层任期制和契约化管理,组织架构与运作,定性文本
开展慰问疗养活动组织职工文体活动,员工,定性文本
职业健康是提高员工工作效率的前提,员工,定性文本
一是强化顶层设计制度建设不断加强,组织架构与运作,定性文本
2022年是充满机遇和挑战的一年,无关文本,无关文本
P61B2.2因工伤损失工作日数,员工,定量文本
其中返岗率统计口径为产假和陪产假,员工,定性文本
联合南方周末制作疾病公益宣传短片,抗疫,定性文本
深化安全文化建设增强全员安全意识,员工,定性文本
公司始终秉持平等多元化的人才理念,员工,定性文本
3对此报告的信息披露程度感到满意,信息披露与投资者沟通,定量文本
公司持续提升服务效率优化客户体验,客户与消费者,定性文本
P40B2.2因工伤损失工作日数,员工,定量文本
公司工会高度重视困难员工帮扶工作,员工,定性文本
任何影响药物纯度的物质统称为杂质,无关文本,无关文本
伊拉克提供钻完井一体化及相关服务,无关文本,无关文本
公司不断加强基础研究能力体系建设,科技创新,定性文本
实施战略科学家未来科学家培养计划,无关文本,无关文本
其中职工代表监事3人占比37.5,组织架构与运作,定量文本
依托内部市场加大帮扶产品产销对接,农村帮扶,定性文本
董事会中独立董事占比符合监管要求,组织架构与运作,定量文本
重点与运营实际按需更新实质性议题,无关文本,无关文本
廉洁管理禁止发生腐败和不诚信事件,反贪污反洗钱,定性文本
公司撤起了职工学习安全知识的热潮,员工,定性文本
进一步提升了员工的归属感和凝聚力,员工,定性文本
推动建立完善CCUS（二氧化碳捕集利用于封存）标准规范体系,碳排放,定性文本
为业务提供高质量的服务和解决方案,无关文本,无关文本
宿迁钟吾医院两项护范医保收费行为,无关文本,无关文本
报告期内委员分会的人员数达到落实,组织架构与运作,定量文本
本集团特质技能和动机更具识别能力,无关文本,无关文本
2022年公司累计召开6次监事会,组织架构与运作,定量文本
本集团支持员工积板的规则及相关规定,员工,定性文本
员工健康与安全插施以及相关执行及监察方法,员工,定性文本
性别信息以雇员的官方身份证明为基础,无关文本,无关文本
复星医药集团应对气候变化的重要途径,应对气候变化,定性文本
性别信息以员工的官方身份证明为基础,无关文本,无关文本
厂区脂明优化年至少节约工水使用情况,水资源,定量文本
年龄信息以员工的官方身份证明为基础,员工,定性文本
不断提升本集团企业社会责任管理水平,无关文本,无关文本
2022年公司未实际产生需召回产品,产品质量,定量文本
2022年公司累计召开13次董事会,组织架构与运作,定量文本
痛点和意见倒逼企业内部前端环节改善,无关文本,无关文本
报告期内各类污染物防治设施运转良好,废弃物管理,定性文本
2022年度共计帮扶困难员工98名,员工,定量文本
炼油产品和非油产品的销售与贸易业务,产品质量,定性文本
2022年乙烯产量13.44百万吨,原材料,定量文本
公司每年对独立董事的独立性进行确认,组织架构与运作,定性文本
重复利用老井场提高存量土地使用效率,土地利用,定性文本
报告期内公司未发生重大违法违规事件,法律诉讼与外部处分,定量文本
直属单位层面已基本建成合规管理体系,组织架构与运作,定性文本
与系统单位签订了党风廉政建设责任书,反贪污反洗钱,定性文本
此外我们对污染物排放进行全流程管理,废弃物管理,定性文本
加强员工沟通开展年度员工满意度调查,员工,定性文本
采购清洁能源并扩大清洁能源使用占比,能源与资源消耗,定性文本
协助申请新员工入杭生活补贴2万元,员工,定量文本
在能源实业领域持续提升能源供应水平,能源与资源消耗,定性文本
全年共申请专利3项新增授权专利1项,知识产权保护,定量文本
数字立体库已在永康库宁波已投入使用,科技创新,定性文本
持续开展安全生产教育培训及应急演练,员工,定性文本
该项目获得浙江省科学技术进步三等奖,科技创新,定量文本
本报告为年度报告今后继续按年度发布,无关文本,无关文本
开展覆盖三级子企业的董事会运行评价,组织架构与运作,定性文本
投资新时代中能布局新能源循环经济领域,能源与资源消耗,定性文本
2022年产品当年不良率同比下降25,产品质量,定量文本
2022年公司未发生任何专利侵权事件,知识产权保护,定量文本
我们努力提升产品品质赢得客户永久信赖,产品质量,定性文本
积极开展节能减排工作提高清洁能源占比,能源与资源消耗,定性文本
我们坚决反对使用童工和强迫劳动的情况,员工,定性文本
持续研究应用低碳技术积极开展行业合作,碳排放,定性文本
丽珠集团正在进行多黏菌素类产品的研发,科技创新,定性文本
新历史阶段公司开局起步保持了良好状态,无关文本,无关文本
2022年公司未发生腐败相关诉讼案件,法律诉讼与外部处分,定量文本
在过去三年里我们没有发生信息安全事件,数据安全,定量文本
多重冗余防护措施并举杜绝员工触电风险,员工,定性文本
2022年公司累计召开了1次股东大会,股东及债权人权益,定量文本
危废品管理审核危废运输处理商的许可证,废弃物管理,定性文本
2022年公司共开展审计项目270个,审计工作,定量文本
投身社会公益解决社会问题是不变的初心,公益和志愿服务,定性文本
责任与担当常在心底做美好生活的智创者,无关文本,无关文本
完善供用水计量体系提升用水信息化水平,水资源,定性文本
实行销售公司省市三级管理部门质量抽检,产品质量,定性文本
2022年公司连续17年通过外部审计,审计工作,定量文本
2022年公司未发生重大网络安全事件,数据安全,定量文本
定期发布可持续发展报告提升公司透明度,信息披露与投资者沟通,定性文本
公司采取多种措施不断优化员工薪酬管理,员工,定性文本
本全面提升成员企业质量意识和合规水平,产品质量,定性文本
董事会将努力执行及促成董事多元化政策,组织架构与运作,定性文本
由3名董事组成主任委员由独立董事担任,组织架构与运作,定量文本
该报告可由报告机构的利益相关方所使用,无关文本,无关文本
一方面从源头介入以减的高效可持续利用,原材料,定性文本
本健康工作氛围的同时提升员工的稳定性,员工,定性文本
2020年数据按照同口径重新进行统计,无关文本,无关文本
由3名董事组成主任委员由独立董事担任,组织架构与运作,定量文本
企业OA上也会有专门的建言献策投诉板块,举报制度,定性文本
120年的历史底蕴锻造了不屈的电气精神,无关文本,无关文本
截至2022年末公司监事会共有8名监事,组织架构与运作,定量文本
迪马股份也一直在教育领域保持参与和投入,无关文本,无关文本
主要产品为铅精矿含银锌精矿和铜精矿含银,原材料,定性文本
截至2022年末公司女性董事占比为10,组织架构与运作,定量文本
发挥专业优势积极推动乡村振兴和养老服务,农村帮扶,定性文本
截至2022年末公司女性董事占比为14,组织架构与运作,定量文本
公司为员工提供多种心理健康服务咨询途径,员工,定性文本
公司为员工提供了完备畅通的绩效申诉机制,举报制度,定性文本
本年度我们在腾讯公益平台共捐款40万元,公益和志愿服务,定量文本
报告期内公司未发生任何贪腐腐败诉讼案件,反贪污反洗钱,定量文本
组织召开人福医药2022年工会工作会议,员工,定性文本
组织HSE（健康（Health）、安全（Safety）和环境（Environment）三位一体的管理体系）关键岗位人员开展培训取证工作,员工,定性文本
严格对标管理持续推进安全生产标准化建设,无关文本,无关文本
衷心感谢您在百忙中对本报告提出宝贵建议,无关文本,无关文本
在集客观公正实事求是地开展质量体系评价,产品质量,定性文本
本报告以中文简体中文繁体及英文版本发布,无关文本,无关文本
旗下新嘉爱斯获评浙江省知识产权示范企业,知识产权保护,定量文本
重庆市迪马实业股份有限公司及其下属公司,无关文本,无关文本
评级工具具有如下特点一是适用客户范围广,无关文本,无关文本
P6667B5.1按地区划分的供应商数目,供应链管理,定量文本
依托自身自然资源优势积极助推美丽乡村建设,农村帮扶,定性文本
全年处理污水1.47亿吨出水达标率100,水资源,定量文本
丰富安全宣传教育形式努力提高员工安全意识,员工,定性文本
2022年公司未发生任何违法违规雇佣事件,员工,定量文本
公司下属单位物产中大国际学院简称国际学院,无关文本,无关文本
2022年公司投入结对帮扶资金566万元,农村帮扶,定量文本
公司员工纷纷用自己的点滴热血筑起爱心之桥,公益和志愿服务,定性文本
在煤炭贸易领域加快建设智慧供应链集成服务,供应链管理,定性文本
获得中国企业联合会AAA企业信用评价认证,可持续认证,定性文本
详情请见公司网站公告及2022年公司年报,无关文本,无关文本
公司坚持问题导向深入分析原因加强风险警示,无关文本,无关文本
积力之所举则无不胜也众智之所为则无不成也,无关文本,无关文本
2022年公司信息科技投入11.05亿元,科技创新,定量文本
更多公司详债请测资公司宫方网站和官方费信,无关文本,无关文本
更多企业称谓说明详见本报告企业名称定义表,无关文本,无关文本
持续降低资源和能源消耗量井提高回收利用率,能源与资源消耗,定性文本
ECC节能热管引入深度除湿机等低能耗设备,能源与资源消耗,定性文本
其它披露的数据及信息不在验证流程范围之内,无关文本,无关文本
环运用让员工操作维护维修技能得到稳步提升,员工,定性文本
报告期内公司及下属子公司开展多场公益活动,公益和志愿服务,定性文本
统工程着力培养知识型技能型创新型人才队伍,科技创新,定性文本
推动供应商承包商提高安全管理环境保护表现,供应链管理,定性文本
建立不同井场类型用地标准提高老井场利用率,土地利用,定性文本
2022年5月生态示范林项目启动建设实施,生物多样性,定性文本
所涉及信息来源于公司内部数据以及公开资料,无关文本,无关文本
公司董事会由7名董事组成其中独立董事3名,组织架构与运作,定量文本
将金融与科技深入融合积极开发智能投研平台,科技创新,定性文本
强化客服管理聚焦服务难题开展百日竞赛活动,客户与消费者,定性文本
上海电气将推动党建工作与经济工作深度融合,组织架构与运作,定性文本
本年度综合各项因素公司新任命女性董事一名,组织架构与运作,定量文本
报告获取本报告提供纸质版和电子版两种形式,无关文本,无关文本
